h3_cell,road_count,total_length_m,avg_lat,avg_lon,primary_ratio
877505705ffffff,14,163291.75,7.604805,-2.510822,1.00
875990671ffffff,19,634979.14,11.576107,-2.409226,0.00
877501332ffffff,17,168952.81,6.729557,-2.535207,1.00
87750eb26ffffff,10,157952.80,6.160054,-2.570135,1.00
8775228ecffffff,200,1864996.24,9.494838,-2.418642,0.07
875990a2effffff,25,233251.58,12.212713,-2.404117,1.00
875995999ffffff,22,980716.75,13.107819,-2.556085,0.00
877505662ffffff,1068,1176476.65,7.404338,-2.472849,0.06
8775228edffffff,47,233374.83,9.479468,-2.412853,0.00
8738ae0f3ffffff,1,224298.70,28.362496,-2.535267,1.00
8775236b2ffffff,16,434281.76,8.364171,-2.434234,0.00
87390d158ffffff,474,1466815.72,40.330714,-2.480742,0.22
877508013ffffff,11,147573.25,5.306787,-2.425115,0.00
8775229acffffff,14,244428.23,9.732210,-2.462982,0.00
8759b160dffffff,45,668666.26,14.175330,-2.440619,0.00
87392921dffffff,446,1311592.67,42.028421,-2.471149,0.00
87752298effffff,117,377830.09,9.697712,-2.515093,0.00
875993c14ffffff,22,381595.15,11.175460,-2.420771,1.00
87750862cffffff,18,204080.20,5.086369,-2.527384,0.00
877505620ffffff,19,270289.89,7.519315,-2.546255,1.00
8759a24f5ffffff,26,71177.45,15.085958,-2.492225,0.00
873824019ffffff,5,30460.00,37.233713,-2.515723,1.00
8759a46c2ffffff,5,14562.26,16.730174,-2.398132,1.00
8759958b2ffffff,19,144570.55,13.030029,-2.555551,1.00
875993caaffffff,75,726694.53,11.083740,-2.395340,0.00
8759906f2ffffff,21,162495.17,11.439865,-2.479911,0.00
87390b4a9ffffff,267,837354.37,37.911987,-2.447279,0.00
877501262ffffff,14,5608.52,6.487736,-2.446768,0.00
87392920effffff,547,1748294.33,42.051487,-2.459310,0.00
8775260d0ffffff,240,274768.33,10.114892,-2.436481,0.00
87752202dffffff,11,536316.20,9.350519,-2.586201,1.00
873929223ffffff,21,35385.26,42.100722,-2.505648,0.00
877508640ffffff,65,98087.66,4.971069,-2.502255,0.22
877522983ffffff,43,216908.73,9.707464,-2.526054,0.00
875934c13ffffff,2,213622.42,21.972977,-2.316399,1.00
8759b3a59ffffff,17,383967.89,13.852547,-2.553656,0.00
87752662dffffff,53,170255.66,9.951080,-2.488396,0.21
8739082d1ffffff,112,616721.28,38.961712,-2.410952,0.00
87390db9cffffff,936,923960.37,40.502087,-2.439790,0.18
877505775ffffff,14,46764.19,7.531973,-2.439980,0.00
87599062effffff,36,445616.18,11.588705,-2.500883,1.00
877522816ffffff,102,331331.71,9.650100,-2.498216,0.00
873822481ffffff,950,1449691.26,34.913048,-2.499354,0.04
875986d52ffffff,17,173468.26,13.878768,-2.351090,0.00
875568a71ffffff,4,37569.46,18.864336,-2.475966,0.00
873824052ffffff,1280,1470326.60,37.252953,-2.451947,0.22
87397692effffff,187,478308.09,41.841252,-2.426429,0.18
877505735ffffff,41,993069.77,7.648404,-2.528092,1.00
873976d69ffffff,329,1125253.25,41.548263,-2.496184,0.06
87599554affffff,41,108672.46,12.626439,-2.455364,0.22
875990699ffffff,54,632664.11,11.375004,-2.521355,0.00
873929211ffffff,92,473010.08,42.016336,-2.528392,0.02
873976c5bffffff,33,68617.42,41.296502,-2.406532,0.00
8738ae08bffffff,23,5158870.12,28.305531,-2.576057,1.00
87390bc6cffffff,1905,845384.11,38.495633,-2.426562,0.06
875990754ffffff,12,177673.16,11.657320,-2.506815,1.00
87390bcc5ffffff,533,4178526.19,38.301333,-2.508758,0.00
8759a09b0ffffff,3,169146.26,16.764492,-2.296940,0.00
